日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2009/7/7,10,5,0,0,0,4,1,0,0,0,2,3,0
2009/7/7,11,16,0,0,0,5,11,0,0,0,5,11,0
2009/7/7,12,3,0,1,0,0,2,0,0,0,1,2,0
2009/7/7,13,4,0,0,0,2,2,0,0,0,2,2,0
2009/7/7,14,3,0,0,0,2,1,0,0,0,1,2,0
2009/7/7,15,6,0,0,0,2,4,0,0,0,1,5,0
2009/7/7,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,17,4,0,0,1,3,0,0,0,0,2,2,0
2009/7/7,18,5,0,0,0,4,1,0,0,0,0,5,0
2009/7/7,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,20,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,21,2,0,0,0,1,1,0,0,0,0,2,0
2009/7/7,22,2,0,0,1,0,1,0,0,0,0,2,0
2009/7/7,23,12,0,0,0,4,8,0,0,1,5,6,0
2009/7/7,24,5,0,0,1,0,4,0,0,0,0,5,0
2009/7/7,25,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,26,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,27,9,0,0,1,3,5,0,0,0,2,7,0
2009/7/7,28,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/7,29,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/7,30,2,0,0,0,1,1,0,0,0,0,2,0
2009/7/7,31,1,0,1,0,0,0,0,0,0,1,0,0
2009/7/7,32,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/7,33,5,0,0,0,4,1,0,0,0,2,3,0
2009/7/7,34,2,0,0,0,1,1,0,0,0,0,2,0
2009/7/7,35,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,36,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,37,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,38,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/7,39,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,40,4,0,0,0,3,1,0,0,0,2,2,0
2009/7/7,41,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/7,42,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/7,43,2,0,0,0,2,0,0,0,0,1,1,0
2009/7/7,44,3,0,0,0,1,2,0,0,1,1,1,0
2009/7/7,45,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/7,46,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/7,47,5,0,0,1,3,1,0,0,1,0,4,0
2009/7/8,1,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,2,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/8,3,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,4,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,6,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,7,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/8,8,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/8,9,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/8,10,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/8,11,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,12,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/8,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,14,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,15,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/8,16,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,17,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,19,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/8,20,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/8,21,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,22,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,23,4,0,0,0,3,1,0,0,0,2,2,0
2009/7/8,24,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,25,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/8,26,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,27,3,0,0,0,0,3,0,0,0,2,1,0
2009/7/8,28,2,0,0,1,0,1,0,0,0,2,0,0
2009/7/8,29,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,30,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,31,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,32,2,0,0,1,0,1,0,0,0,1,1,0
2009/7/8,33,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/8,34,2,0,0,1,1,0,0,0,0,0,2,0
2009/7/8,35,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,36,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,37,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,38,3,0,0,1,1,1,0,0,0,3,0,0
2009/7/8,39,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/8,40,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,41,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,42,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,43,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,44,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/8,45,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/8,46,4,0,0,0,1,3,0,0,1,1,2,0
2009/7/8,47,3,0,0,0,2,1,0,0,0,1,2,0
2009/7/9,1,3,0,0,0,1,2,0,0,0,1,2,0
2009/7/9,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,3,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,4,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,6,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,7,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,8,4,0,0,0,0,4,0,0,0,2,2,0
2009/7/9,9,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/9,10,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,11,10,0,0,0,7,3,0,0,0,6,4,0
2009/7/9,12,6,0,1,3,2,0,0,0,0,2,4,0
2009/7/9,13,1,0,0,0,1,0,0,0,1,0,0,0
2009/7/9,14,3,0,0,0,2,1,0,0,0,1,2,0
2009/7/9,15,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,17,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,20,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,21,3,0,0,0,2,1,0,0,0,2,1,0
2009/7/9,22,3,0,0,0,2,1,0,0,0,1,2,0
2009/7/9,23,14,0,0,2,4,8,0,0,0,4,10,0
2009/7/9,24,3,0,0,0,2,1,0,0,0,0,3,0
2009/7/9,25,3,0,0,1,0,2,0,0,0,0,3,0
2009/7/9,26,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/9,27,10,0,0,1,5,4,0,0,0,3,7,0
2009/7/9,28,8,0,0,2,1,5,0,0,0,2,6,0
2009/7/9,29,7,0,1,0,2,4,0,0,0,4,3,0
2009/7/9,30,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/9,31,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/9,32,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/9,33,7,0,1,0,5,1,0,0,0,2,5,0
2009/7/9,34,2,0,0,0,2,0,0,0,0,2,0,0
2009/7/9,35,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/9,36,0,0,0,0,0,0,0,0,0,0,0,0
